No,Web Site,Website IP Address,Web Hosting Company / IP Owner,Web Hosting / Server IP Location,Web Hosting City,World Site Popular Rating,Category (Coma seperated),Tags,Contact Email (Coma seperated),SIte Name,Meta Desctiption of Site,Website Screenshot URL (1280X888)
1,myshopify.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,# 248,,,,,,
2,colourpop.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 2,542",Beauty,,,,,
3,fashionnova.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 5,394",Womens Clothing,,,,,
4,jeffreestarcosmetics.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 9,674",Beauty,,,,,
5,spigen.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 16,686","Phones & Accessories,",,,,,
6,giuliofashion.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 17,606","Womens Clothing, Mens Clothing,",,,,,
7,ejuicevapor.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 17,820","Other,",,,,,
8,mvmtwatches.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 18,000","Watches,",,,,,
9,ripndipclothing.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 19,050","Womens Clothing, Mens Clothing, Watches, Jewellery,",,,,,
10,citiesocial.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 20,183","Baby Products, Clothing, Home & Garden, Kids Clothing,",,,,,
11,fleshlight.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 20,301","Other,",,,,,
12,usatuan.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 20,736","Other,",,,,,
13,alrugaibfurniture.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 21,042","Home & Garden,",,,,,
14,cettire.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 22,574","Womens Clothing, Mens Clothing, Watches, Jewellery, Shoes,",,,,,
15,cncpts.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 23,448","Office Products, Software and Apps, Other,",,,,,
16,lagarconne.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 24,944","Womens Clothing, Mens Clothing, Watches, Jewellery, Shoes,",,,,,
17,creativebooster.net,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 25,618","Office Products, Software and Apps, Other,",,,,,
18,gfuel.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 25,667","Other,",,,,,
19,bexteranutrition.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 27,657","Sports & Fitness,",,,,,
20,gitmanvintage.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 28,966","Mens Clothing, T-Shirts,",,,,,
21,timefaster.in,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 30,478","Watches,",,,,,
22,phonete.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 31,027","Phones & Accessories,",,,,,
23,bungiestore.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 31,149","Womens Clothing, Mens Clothing,",,,,,
24,sisterjane.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 31,839","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
25,santalike.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 32,002","Art, Home & Garden,",,,,,
26,notre-shop.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 32,163","Shoes,",,,,,
27,teefury.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 32,453","T-Shirts,",,,,,
28,reliquiajewellery.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 32,959","Jewellery,",,,,,
29,quayaustralia.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 33,249","Sunglasses,",,,,,
30,bdgastore.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 33,754","Shoes,",,,,,
31,wearfigs.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 33,778","Womens Clothing, Mens Clothing,",,,,,
